Name of the Plant,Family,Common Name,Link
Artemisia absynthium  L.,ASTERACEAE,Vilayathi afsanthin,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013630&column=szBarcode
Artemisia dracunculcus  L.,ASTERACEAE,Dragon Mugwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013151&column=szBarcode
Artemisia indica  Willd.,ASTERACEAE,Nagdona (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013148&column=szBarcode
Artemisia maritima  L.,ASTERACEAE,Kirmala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013634&column=szBarcode
Artemisia nilagirica  (C.B.Clarke) Pamp.,ASTERACEAE,Nagdona,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013641&column=szBarcode
Artemisia persica  Boiss.,ASTERACEAE,Pardesi davano (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013635&column=szBarcode
Artemisia roxburghiana  Wall. ex. Besser,ASTERACEAE,Roxburgh's Wormwood (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013636&column=szBarcode
Artemisia sacrorum  Ledeb.,ASTERACEAE,Burmack (Ladakh),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013637&column=szBarcode
Artemisia scoparia  Waldst. & Kit.,ASTERACEAE,"Seeta-bani, Jhau",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013639&column=szBarcode
Artemisia sivarsiana  Ehrh. Ex. Willd.,ASTERACEAE,Kaadu davana (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013640&column=szBarcode
Arthrocnemum indicum  (Willd.) Moq.,CHENOPODIACEAE,Machola,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009909&column=szBarcode
Artocarpus heterophyllus  Lam.,MORACEAE,Kathal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009768&column=szBarcode
Artocarpus lakoocha  Roxb.,MORACEAE,Barhal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009767&column=szBarcode
Arundo donax  L.,POACEAE,Bara nal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003195&column=szBarcode
Asclepias curassavica  L.,ASCLEPIADACEAE,"Kakatundi, Kakanasika",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009261&column=szBarcode
Asparagus adscendens  Roxb.,LILIACEAE,Satavar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003097&column=szBarcode
Asparagus filicinus  Buch.-Ham ex D. Don,LILIACEAE,Allipalli (Punj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003099&column=szBarcode
Asparagus gonocladus  Baker,LILIACEAE,Sadaveri (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003100&column=szBarcode
Asparagus officinalis  L.,LILIACEAE,"Marchuba, Paragus, Vilayati Karua, Nakdown, Margiyeh, Halyun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003101&column=szBarcode
Asparagus racemosus  Willd.,LILIACEAE,"Satawar, Satmuli (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003098&column=szBarcode
Asplenium adiantum-nigrum  L.,ASPLENIACEAE,Black Spleenwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003266&column=szBarcode
Astragalus strobiliferus  Royle ex Benth.,FABACEAE,Garmezu (Chitral),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003696&column=szBarcode
Astragalus tribuloides  Delile,FABACEAE,Ogai (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003695&column=szBarcode
Asystasia gangetica  (L.) T.Anderson,ACANTHACEAE,Lavana-valli (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009040&column=szBarcode
Atriplex hortensis  L.,CHENOPODIACEAE,"Korake, Surake",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009906&column=szBarcode
Atropa acuminata  Royle,SOLANACEAE,Indian Atropa (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009682&column=szBarcode
Atropa belladona  L.,SOLANACEAE,Angur Shefa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009683&column=szBarcode
Atylosia scrabaeoides  (L.) Benth.,FABACEAE,"Bnkulthi, Birghore (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003618&column=szBarcode
Avena fatua  L.,POACEAE,Common wild oat (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003189&column=szBarcode
Avena sativa  L.,POACEAE,Common Oat (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003190&column=szBarcode
Averrhoa bilimbi  L.,OXALIDACEAE,Tree Sorrel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013456&column=szBarcode
Avicennia officinalis  L.,VERBENACEAE,Bina,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009085&column=szBarcode
Azadirachta indica  (L.) A.Juss.,MELIACEAE,Nim,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009901&column=szBarcode
Azanza lampas  (Cav.) Alef.,MALVACEAE,"Jangli bhendi, Bankapasi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013835&column=szBarcode
Azima tetracantha  Lam.,SALVADORACEAE,Kantagur-kamai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009288&column=szBarcode
Bacopa monnieri  (L.) Pennell,SCROPHULARIACEAE,Nira-brahmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009676&column=szBarcode
Balanites aegyptiaca  (L.) Delile,BALANITACEAE,"Hingan, Hingot",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013478&column=szBarcode
Baliospermum montanum  (Willd.) Muell.Arg.,EUPHORBIACEAE,Danti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008983&column=szBarcode
Bambusa bambos  Druce,POACEAE,Kalak (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003181&column=szBarcode
Barleria buxifolia  L.,ACANTHACEAE,Liksura (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009043&column=szBarcode
Barleria courtallica  Nees,ACANTHACEAE,Chethasahacharam (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009059&column=szBarcode
Barleria cristata  L.,ACANTHACEAE,Nil jhinti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009044&column=szBarcode
Barleria longiflora  L.f.,ACANTHACEAE,Ekakantaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009054&column=szBarcode
Barleria noctiflora  L.f.,ACANTHACEAE,Naga gorinta (Telugu),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009042&column=szBarcode
Barleria prionitis  L.,ACANTHACEAE,"Jhinti, Katsareya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009041&column=szBarcode
Barleria strigosa  Willd.,ACANTHACEAE,Neelakurantak (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009048&column=szBarcode
Barringtonia acutangula  (L.) Gaertn.,LECYTHIDACEAE,Hijjal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013810&column=szBarcode
Barringtonia racemosa  (L.) Roxb.,LECYTHIDACEAE,Samudraphala (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013809&column=szBarcode
Basella rubra  L.,BASELLACEAE,"Poi, Safedbachla",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009908&column=szBarcode
Bauhinia malabarica  Roxb.,CAESALPINIACEAE,"Amli, Amlosa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003492&column=szBarcode
Bauhinia purpurea  L.,CAESALPINIACEAE,Khairwal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003486&column=szBarcode
Bauhinia racemosa  Lam.,CAESALPINIACEAE,"Kachnal, Ashta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003491&column=szBarcode
Bauhinia retusa  Ham. ex. DC.,CAESALPINIACEAE,Semla,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003483&column=szBarcode
Bauhinia vahlii  Wight & Arn.,CAESALPINIACEAE,Maljan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003489&column=szBarcode
Bauhinia variegata  L.,CAESALPINIACEAE,Kachnar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003485&column=szBarcode
Begonia rex  Putz.,BEGONIACEAE,King Begonia (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013776&column=szBarcode
Benincasa hispida  (Thunb.) Cogn.,CUCURBITACEAE,Petha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013781&column=szBarcode
Berberis aristata  DC.,BERBERIDACEAE,"Chitra, Daruhald",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003776&column=szBarcode
Berberis asiatica  Roxb. ex. DC.,BERBERIDACEAE,Kilmora (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003787&column=szBarcode
Berberis insignis  Hook.f. & Thomson,BERBERIDACEAE,Kasmal (Simla),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003786&column=szBarcode
Berberis lycium  Royle,BERBERIDACEAE,Kasmal (Simla),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003775&column=szBarcode
Berchemia lineata  DC.,RHAMNACEAE,Kameti (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003605&column=szBarcode
Bergia suffriticosa  (Del.) Fenzl.,ELATINACEAE,Gangharaw (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003823&column=szBarcode
Beta vulgaris  L.,CHENOPODIACEAE,Chukandar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008834&column=szBarcode
Betula alnoides  Buch.-Ham.ex D.Don,BETULACEAE,Bhojpatra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008928&column=szBarcode
Betula utilis  D.Don,BETULACEAE,Bhojpatra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008929&column=szBarcode
Bidens tripartita  L.,ASTERACEAE,Threelobe Beggar Tick (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013643&column=szBarcode
Biophytum sensitivum  (L.) DC.,OXALIDACEAE,Lajalu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013457&column=szBarcode
Bischofia javanica  Blume,EUPHORBIACEAE,Paniala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008987&column=szBarcode
Bixa orellana  L.,BIXACEAE,Latkan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003725&column=szBarcode
Blechnum orientale  L.,BLECHNACEAE,Haththazori,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003252&column=szBarcode
Blepharis edulis  Pers.,ACANTHACEAE,Chaupatia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009056&column=szBarcode
Blepharis indica  Stocks ex T.Anderson,ACANTHACEAE,Kolimukkan chedi (Tamil),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009057&column=szBarcode
Blighia sapida  Koen. & Sims.,SAPINDACEAE,Akee (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003579&column=szBarcode
Blumea balsamifera  (L.) DC.,ASTERACEAE,Kakaronda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013645&column=szBarcode
Blumea densiflora  (Wall.) DC.,ASTERACEAE,Grand Blumea (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013647&column=szBarcode
Blumea eriantha  DC.,ASTERACEAE,Nimurdi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013648&column=szBarcode
Blumea lacera  (Burm.f.) DC.,ASTERACEAE,Kakranda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013649&column=szBarcode
Blumea lanceolaria  (Roxb.) Druce,ASTERACEAE,Tera paibi macha (Manipuri),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013650&column=szBarcode
Boehmeria nivea  (L.) Gaud.,URTICACEAE,Kankura (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009014&column=szBarcode
Boerhavia diffusa  L.,NYCTAGINACEAE,Sant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008904&column=szBarcode
Bombax ceiba  L.,BOMBACACEAE,"Semal, Semul (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003869&column=szBarcode
Borassus flabellifer  L.,ARECACEAE,Tar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003199&column=szBarcode
Borreria articularis  (L.f.) F.N.Wiliams,RUBIACEAE,"Guthari, Madanaghanta (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013597&column=szBarcode
Boswellia serrata  Roxb. ex Coleb.,BURSERACEAE,Salai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009883&column=szBarcode
Botrychium lunaria  (L.) Sw.,OPHIOGLOSSACEAE,Moonwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003270&column=szBarcode
Botrychium virginianum  (L.) Sw.,OPHIOGLOSSACEAE,Rattle snake fern (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003271&column=szBarcode
Brassica juncea  (L.) Czern.,BRASSICACEAE,"Asal rai, Laha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003753&column=szBarcode
Brassica nigra  L.,BRASSICACEAE,Banarasi rai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003752&column=szBarcode
Breynia retusa  (Dennst.) Alston,EUPHORBIACEAE,Chitki (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008956&column=szBarcode
Breynia retusa  (L.) Spreng.,EUPHORBIACEAE,Chitki (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008952&column=szBarcode
Breynia rhamnoides  (Retz.) Muell.-Arg.,EUPHORBIACEAE,Tikhar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008957&column=szBarcode
Bridelia montana  Willd.,EUPHORBIACEAE,"Khaja, Gondui",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008953&column=szBarcode
Bromus mollis  L.,POACEAE,Soft brome (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003182&column=szBarcode
Brucea javanica  (L.) Merr.,SIMAROUBACEAE,Chinese Sumac (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013481&column=szBarcode
Bryonopsis laciniosa  (L.) Naud.,CUCURBITACEAE,"Gorgu-naru, Mala (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013780&column=szBarcode
Bryophyllum pinnatum  Lam.,CRASSULACEAE,Zakhm-haiyat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009436&column=szBarcode
Buchanania lanzan  Spreng.,ANACARDIACEAE,"Piyar, Chironji",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003567&column=szBarcode
Buddleja asiatica  Lour.,BUDDLEJACEAE,Neemda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013557&column=szBarcode
Bunium persicum  (Boiss.) Fedt.,APIACEAE,"Siah-zirah, Kala-zirah",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013757&column=szBarcode
Butea monosperma  (Lam.) Taub.,FABACEAE,"Dhak, Palas (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003662&column=szBarcode
Butea parviflora  Roxb.,FABACEAE,"Maulo, Bando",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003660&column=szBarcode
Butea superba  Roxb.,FABACEAE,Palas lata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003661&column=szBarcode
Buxus wallichiana  Baill.,BUXACEAE,"Chikri, Papri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009012&column=szBarcode
Byttneria herbacea  Roxb.,STERCULIACEAE,Kambraj (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003857&column=szBarcode
Cadaba fruticosa  (L.) Druce,CAPPARACEAE,Kodhab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003737&column=szBarcode
Cadaba trifoliata  (Roxb.) Wight & Arn.,CAPPARACEAE,Balaya (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003739&column=szBarcode
Caesalpinia bonduc  (L.) Roxb.,CAESALPINIACEAE,"Kantikaranjua, Kat-karanj",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003525&column=szBarcode
Caesalpinia coriaria  (Jacq.) Willd.,CAESALPINIACEAE,Dividivi (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003519&column=szBarcode
Caesalpinia crista  L.,CAESALPINIACEAE,"Karanju, Katkaranj",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003527&column=szBarcode
Caesalpinia digyna  Rottler,CAESALPINIACEAE,Vakeri-mul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003518&column=szBarcode
Caesalpinia pulcherrima  (L.) Swartz,CAESALPINIACEAE,Guletura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003522&column=szBarcode
Caesalpinia sappan  L.,CAESALPINIACEAE,"Bakam, Patang",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003523&column=szBarcode
Cajanus cajan  (L.) Millsp.,FABACEAE,"Arhar, Tur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003620&column=szBarcode
Calamus rotang  L.,ARECACEAE,Arichural (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003209&column=szBarcode
Calamus travancoricus  Bedd. ex Becc.,ARECACEAE,Kattuchooral (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003206&column=szBarcode
Calendula officinalis  L.,ASTERACEAE,Zergul (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013653&column=szBarcode
Callicarpa arborea  Roxb. ex C.B.Clarke,VERBENACEAE,Khoja (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009072&column=szBarcode
Callicarpa longifolia  Lam.,VERBENACEAE,Dieng-soh-kait-lang (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009069&column=szBarcode
Callicarpa macrophylla  Vahl,VERBENACEAE,"Daya, Priyangu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009067&column=szBarcode
Callicarpa tomentosa  (L.) Murr.,VERBENACEAE,Bastra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009073&column=szBarcode
Calligonum polygonoides  L.,POLYGONACEAE,Phog,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009910&column=szBarcode
Callistemon lanceolatus  DC.,MYRTACEAE,Bottle Brush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013797&column=szBarcode
Calophyllum apetalum  Willd.,CLUSIACEAE,Bobbi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003801&column=szBarcode
Calophyllum inophyllum  L.,CLUSIACEAE,Sultanachampa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003803&column=szBarcode
Calotropis gigantea  (L.) W.T.Aiton,ASCLEPIADACEAE,Ak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009264&column=szBarcode
Calotropis procera  (Aiton) W.T.Aiton,ASCLEPIADACEAE,"Akada, Akavana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009260&column=szBarcode
Caltha palustris  L.,RANUNCULACEAE,Mumiri (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009950&column=szBarcode
Calycopteris floribunda  (Roxb.) Lam.,COMBRETACEAE,Kokaray,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013714&column=szBarcode
Camellia kissi  Wall.,THEACEAE,Kissi (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003798&column=szBarcode
Camellia sinensis  (L.) Kuntze,THEACEAE,"Cha, Chai",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003797&column=szBarcode
Cananga odorata  Hook.f. & Thoms.,ANNONACEAE,Karumugai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013999&column=szBarcode
Canavalia gladiata  (Jacq.) DC.,FABACEAE,"Bara Sem, Sufed Kadsumbal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003626&column=szBarcode
Canna indica  L.,CANNACEAE,"Sabbajaya, Sarvajjaya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003134&column=szBarcode
Cannabis sativa  L.,CANNABACEAE,"Bhang, Ganja",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009006&column=szBarcode
Canscora decussata  (Roxb.) Schult. & Schult.f.,GENTIANACEAE,Sankhaphuli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013560&column=szBarcode
Canscora diffusa  (Vahl) R.Br. ex. Roem. & Schult.,GENTIANACEAE,Kyoukpan (Burma),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013561&column=szBarcode
Canthium dicoccum  (Gaertn.) Merr.,RUBIACEAE,Arsul (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013608&column=szBarcode
Capparis decidua  (Forssk.) Edgew.,CAPPARACEAE,"Kurrel, Karer",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003733&column=szBarcode
Capparis grandis  L.f.,CAPPARACEAE,Kauntel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003730&column=szBarcode
Capparis heyneana  Wall. ex Wight,CAPPARACEAE,Chaymka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003729&column=szBarcode
Capparis sepiaria  L.,CAPPARACEAE,Kaliakara (Ben.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003728&column=szBarcode
Capparis spinosa  L.,CAPPARACEAE,Kabra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003736&column=szBarcode
Capparis zeylanica  L.,CAPPARACEAE,Ardanda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003734&column=szBarcode
Capsella bursa-pastoris  (L.) Medik.,BRASSICACEAE,Shepherd's purse (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003751&column=szBarcode
